0.034	100
0.051	247
0.068	129
0.084	169
0.101	192
0.118	199
0.135	217
0.152	177
0.169	224
0.186	193
0.203	119
0.220	159
0.237	263
0.254	153
0.270	156
0.287	252
0.304	159
0.321	188
0.338	154
0.355	211
0.372	155
0.389	22
0.406	218
0.423	54
0.439	175
0.456	266
0.473	131
0.490	205
0.507	195
0.524	189
0.541	139
0.558	253
0.575	243
0.592	298
0.609	123
0.626	169
0.642	216
0.659	100
0.676	185
0.693	157
0.710	214
0.727	45
0.744	173
0.761	90
0.778	169
0.795	268
0.811	144
0.828	124
0.845	108
0.862	122
0.879	176
0.896	142
0.913	101
0.930	240
0.947	206
0.964	152
0.981	52
0.997	191
1.014	281
1.031	211
1.048	170
1.065	290
1.082	152
1.099	183
1.116	211
1.133	180
1.150	78
1.166	207
1.183	152
1.200	189
1.217	196
1.234	175
1.251	157
1.268	102
1.285	126
1.302	119
1.319	193
1.336	171
1.352	109
1.369	153
1.386	85
1.403	189
1.420	100
1.437	178
1.454	73
1.471	153
1.488	218
1.505	182
1.522	151
1.538	219
1.555	265
1.572	86
1.589	217
1.606	130
1.623	129
1.640	139
1.657	176
1.674	136
1.691	143
1.707	82
1.724	94
1.741	272
1.758	76
1.775	116
1.792	46
1.809	98
1.826	82
1.843	185
1.860	169
1.877	188
1.893	87
1.910	101
1.927	126
1.944	157
1.961	217
1.978	61
1.995	55
2.012	52
2.029	210
2.046	188
2.063	94
2.079	169
2.096	107
2.113	141
2.130	56
2.147	162
2.164	180
2.181	192
2.198	189
2.215	205
2.232	305
2.249	274
2.265	241
2.283	137
2.299	195
2.316	241
2.333	161
2.350	140
2.367	137
2.384	109
2.401	75
2.418	121
2.435	143
2.452	184
2.469	208
2.485	123
2.502	158
2.519	186
2.536	117
2.553	121
2.570	62
2.587	19
2.604	265
2.621	126
2.638	79
2.654	274
2.671	78
2.688	87
2.705	344
2.722	87
2.739	229
2.756	31
2.773	97
2.790	148
2.807	225
2.824	254
2.840	204
2.857	210
2.874	128
2.891	176
2.908	124
2.925	207
2.942	193
2.959	221
2.976	109
2.993	112
3.010	96
3.026	149
3.043	256
3.060	119
3.077	210
3.094	119
3.111	153
3.128	193
3.145	159
3.162	212
3.179	182
3.195	236
3.212	150
3.229	244
3.246	184
3.263	123
3.280	162
3.297	162
3.314	301
3.331	400
3.348	180
3.365	280
3.381	255
3.398	146
3.415	246
3.432	286
3.449	150
3.466	230
3.483	264
3.500	297
3.517	160
