0.051	493
0.068	335
0.084	360
0.101	235
0.118	466
0.135	324
0.152	478
0.169	539
0.186	499
0.203	532
0.220	399
0.237	615
0.254	419
0.270	468
0.287	523
0.304	476
0.321	689
0.338	565
0.355	617
0.372	869
0.389	717
0.406	533
0.423	870
0.440	703
0.456	593
0.473	756
0.490	538
0.507	505
0.524	339
0.541	342
0.558	285
0.575	362
0.592	216
0.609	374
0.625	297
0.642	444
0.659	347
0.676	377
0.693	206
0.710	350
0.727	464
0.744	361
0.761	209
0.778	260
0.795	374
0.811	256
0.828	580
0.845	286
0.862	488
0.879	292
0.896	441
0.913	299
0.930	439
0.947	312
0.964	479
0.980	502
0.997	540
1.014	501
1.031	260
1.048	739
1.065	353
1.082	660
1.099	714
1.116	346
1.133	313
1.150	546
1.167	461
1.184	664
1.201	461
1.217	454
1.234	538
1.251	895
1.268	461
1.285	331
1.302	305
1.319	356
1.336	438
1.353	467
1.370	254
1.387	281
1.403	732
1.420	307
1.437	386
1.454	473
1.471	470
1.488	535
1.505	416
1.522	553
1.539	742
1.556	700
1.572	788
1.589	699
1.606	738
1.623	648
1.640	902
1.657	769
1.674	673
1.691	910
1.708	859
1.725	885
1.742	1145
1.758	972
1.775	890
1.792	993
1.809	624
1.826	1074
1.843	838
1.860	1059
1.877	669
1.894	979
1.911	884
1.928	1411
1.944	875
1.961	713
1.978	990
1.995	750
2.012	1036
2.029	681
2.046	1172
2.063	877
2.080	928
2.097	1156
2.113	895
2.130	820
2.147	492
2.164	865
2.181	956
2.198	797
2.215	813
2.232	945
2.249	1061
2.266	630
2.283	917
2.299	1051
2.316	490
2.333	963
2.350	1470
2.367	1098
2.384	888
2.401	981
2.418	871
2.435	1048
2.452	1178
2.468	1014
2.485	873
2.502	1091
2.519	869
2.536	831
2.553	1350
2.570	992
2.587	1188
2.604	970
2.621	1018
2.638	996
2.654	1133
2.671	1181
2.688	1274
2.705	1048
2.722	640
2.739	779
2.756	1046
2.773	820
2.790	744
2.807	880
2.824	965
2.840	1196
2.857	1468
2.874	1209
2.891	1083
2.908	1346
2.925	1579
2.942	1472
2.959	1416
2.976	1409
2.993	1716
3.010	1728
3.026	1163
3.043	1397
3.060	1260
3.077	1487
3.094	1389
3.111	1480
3.128	1663
3.145	1349
3.162	1699
3.179	1808
3.196	1267
3.213	1924
3.230	1387
3.246	1430
3.263	1386
3.280	1612
3.297	1474
3.314	1533
3.331	1566
3.348	2317
3.365	1840
3.382	1857
3.399	2250
3.416	2141
3.432	2344
3.449	2045
3.466	1882
3.483	2425
3.500	2515
3.517	2261
3.534	2109
3.551	2083
3.568	2969
3.585	1498
3.602	1648
3.618	2360
3.635	1535
3.652	1637
3.669	1971
3.686	1944
3.703	1720
3.720	1449
3.737	1956
3.754	2010
3.771	1687
3.787	1791
3.804	1532
3.821	1272
3.838	1818
3.855	1346
3.872	1291
3.889	1607
3.906	1441
3.923	1913
3.940	1671
3.957	1499
3.973	1224
3.990	1093
4.007	1257
4.024	1372
4.041	1732
4.058	975
4.075	1412
4.092	1573
4.109	1233
4.126	1321
4.142	1689
4.159	1396
4.176	1546
4.193	1334
