0.034	236
0.051	528
0.068	430
0.084	316
0.101	513
0.118	453
0.135	515
0.152	405
0.169	301
0.186	438
0.203	355
0.220	331
0.237	600
0.254	469
0.270	373
0.287	346
0.304	694
0.321	356
0.338	462
0.355	487
0.372	621
0.389	430
0.406	803
0.423	405
0.439	464
0.456	470
0.473	508
0.490	414
0.507	495
0.524	346
0.541	593
0.558	450
0.575	429
0.592	387
0.609	390
0.626	681
0.642	621
0.659	571
0.676	605
0.693	515
0.710	401
0.727	567
0.744	549
0.761	399
0.778	514
0.795	322
0.811	462
0.828	491
0.845	358
0.862	468
0.879	550
0.896	686
0.913	552
0.930	509
0.947	769
0.964	522
0.981	697
0.997	396
1.014	479
1.031	561
1.048	626
1.065	681
1.082	696
1.099	509
1.116	472
1.133	661
1.150	914
1.166	933
1.183	459
1.200	546
1.217	320
1.234	283
1.251	586
1.268	471
1.285	623
1.302	464
1.319	650
1.336	426
1.352	421
1.369	449
1.386	627
1.403	683
1.420	730
1.437	577
1.454	524
1.471	709
1.488	699
1.505	407
1.522	581
1.538	414
1.555	730
1.572	506
1.589	532
1.606	603
1.623	558
1.640	693
1.657	493
1.674	395
1.691	665
1.707	480
1.724	598
1.741	895
1.758	545
1.775	736
1.792	595
1.809	497
1.826	543
1.843	655
1.860	935
1.877	776
1.893	795
1.910	488
1.927	932
1.944	1015
1.961	1068
1.978	980
1.995	1244
2.012	1080
2.029	881
2.046	1071
2.063	720
2.079	556
2.096	741
2.113	907
2.130	979
2.147	1283
2.164	1056
2.181	1149
2.198	801
2.215	992
2.232	1184
2.249	1300
2.265	1091
2.283	1022
2.299	1054
2.316	1007
2.333	971
2.350	1418
2.367	1270
2.384	1178
2.401	1059
2.418	1229
2.435	1529
2.452	1402
2.469	1142
2.485	1608
2.502	1308
2.519	1816
2.536	1043
2.553	1310
2.570	1538
2.587	1552
2.604	1724
2.621	1627
2.638	1526
2.654	1679
2.671	1465
2.688	1768
2.705	1254
2.722	1551
2.739	1946
2.756	1387
2.773	1848
2.790	2093
2.807	1579
2.824	2147
2.840	1976
2.857	1815
2.874	2138
2.891	2419
2.908	1956
2.925	1979
2.942	2207
2.959	2148
2.976	1884
2.993	2202
3.010	2169
3.026	2381
3.043	2124
3.060	2696
3.077	2126
3.094	2500
3.111	2212
3.128	2152
3.145	2951
3.162	2264
3.179	2562
3.195	2549
3.212	2922
3.229	2420
3.246	2363
3.263	2481
3.280	3125
3.297	2646
3.314	2474
3.331	2916
3.348	2802
3.365	2740
3.381	3597
3.398	3074
3.415	2546
3.432	3096
3.449	3947
3.466	3402
3.483	3140
3.500	3768
3.517	3427
3.534	3837
3.551	3203
3.567	4276
3.584	3271
3.601	3328
3.618	3314
3.635	3874
3.652	4484
3.669	4462
3.686	4043
3.703	4510
3.720	4842
3.736	5288
3.753	5206
3.770	4430
3.787	5683
3.804	6548
3.821	6113
3.838	8846
3.855	13658
3.872	23913
3.889	31051
3.906	38475
3.922	37902
3.939	27472
3.956	23396
3.973	14010
3.990	11528
4.007	8713
4.024	7638
4.041	6323
4.058	4608
4.075	4678
4.092	4750
4.108	4771
4.125	4620
4.142	5199
4.159	5370
4.176	6208
4.193	5313
4.210	4746
4.227	4053
4.244	3717
4.261	4638
4.277	3008
4.294	3720
4.311	3142
4.328	3425
4.345	2941
4.362	3749
4.379	4769
4.396	5620
4.413	5242
4.430	3724
4.447	3061
4.463	3732
4.480	3379
4.497	3059
4.514	3637
4.531	2918
4.548	3705
4.565	2926
4.582	4173
4.599	4173
4.616	4239
4.633	3779
4.649	3787
4.666	3239
4.683	3352
4.700	2727
4.717	3070
4.734	3230
4.751	2738
4.768	3022
4.785	3340
4.802	3966
4.818	4126
4.835	4512
4.852	3366
4.869	3368
4.886	2965
4.903	2804
4.920	2643
4.937	2744
4.954	2353
4.971	2769
4.988	2423
5.004	1899
5.021	2053
5.038	2404
5.055	2057
5.072	1911
5.089	2474
5.106	1984
5.123	2020
5.140	2200
5.157	2199
5.174	1939
5.190	1990
5.207	2077
5.224	1795
5.241	1685
5.258	1951
5.275	2285
5.292	1486
5.309	2130
5.326	1719
5.343	1687
5.359	2095
5.376	2169
5.393	2113
5.410	1612
5.427	1692
5.444	1789
5.461	1672
5.478	1700
5.495	2050
5.512	1652
5.529	2144
5.545	2395
5.562	2071
5.579	1685
5.596	1707
5.613	1660
5.630	1672
5.647	2398
5.664	2490
5.681	2344
5.698	2018
5.715	2579
5.731	2370
